Date,Open,High,Low,Close
2004-01-22,43876,43950,43332,43397
2004-01-23,43393,43723,43069,43480
2004-01-26,43408,43456,42888,42896
2004-01-27,42908,43455,42691,43296
2004-01-28,43304,43868,43142,43497
2004-01-29,43501,43583,42001,42323
2004-01-30,42311,42634,42119,42513
2004-02-02,42468,42588,41618,42013
2004-02-03,42001,42628,41976,42121
2004-02-04,42113,42274,41952,42201
2004-02-05,42213,42277,41829,42026
2004-02-06,42011,42980,41899,42536
2004-02-09,42621,43045,42445,42935
2004-02-10,42935,43258,42817,42850
2004-02-11,42883,43404,42685,43313
2004-02-12,43358,43555,43163,43432
2004-02-13,43424,43915,42853,43239
2004-02-16,43466,43474,43046,43374
2004-02-17,43386,43970,43305,43867
2004-02-18,43871,44057,43624,43774
2004-02-19,43790,44028,43651,43862
2004-02-20,43821,44089,42993,43300
2004-02-23,43456,43456,43062,43187
2004-02-24,43175,43702,43118,43682
2004-02-25,43682,43822,42751,43116
2004-02-26,43125,43502,42825,43288
2004-02-27,43276,43417,42685,43207
2004-03-01,42966,43867,42934,43534
2004-03-02,43518,43746,43028,43272
2004-03-03,43248,43309,42679,43238
2004-03-04,43242,43681,43101,43615
2004-03-05,43631,45017,43576,44909
2004-03-08,44768,44956,44490,44587
2004-03-09,44607,45089,44536,44762
2004-03-10,44758,45062,44040,44282
2004-03-11,44302,44618,43938,44562
2004-03-12,44577,44669,43722,43763
2004-03-15,43711,44283,43564,44006
2004-03-16,44006,44175,43594,43825
2004-03-17,43737,44126,43382,44041
2004-03-18,44054,44143,43306,43854
2004-03-19,43907,44153,43659,43930
2004-03-22,43878,44722,43878,44544
2004-03-23,44548,44853,44252,44782
2004-03-24,44755,44835,44080,44130
2004-03-25,44114,44321,43876,44150
2004-03-26,44113,44804,43769,44712
2004-03-29,44540,44605,43822,44077
2004-03-30,44081,44553,43952,44519
2004-03-31,44531,44595,43709,44445
2004-04-01,44420,44577,44013,44180
2004-04-02,44099,44789,43571,43839
2004-04-05,43956,44102,43502,43572
2004-04-06,43626,44536,43568,44345
2004-04-07,44329,44568,43996,44538
2004-04-08,44521,44796,44354,44520
2004-04-09,44533,44849,44442,44724
2004-04-12,44561,44752,43932,44166
2004-04-13,44174,44341,43178,43337
2004-04-14,43345,43680,42950,43498
2004-04-15,43510,43669,42860,43101
2004-04-16,43125,43551,43004,43136
2004-04-19,43065,43812,43013,43343
