Date,Money_Manager_Net
2014-06-24,99930
2014-07-01,125954
2014-07-08,133776
2014-07-15,122087
2014-07-22,125726
2014-07-29,108630
2014-08-05,90679
2014-08-12,116427
2014-08-19,103205
2014-08-26,81182
2014-09-02,62918
2014-09-09,60207
2014-09-16,40295
2014-09-23,30130
2014-09-30,30923
2014-10-07,29863
2014-10-14,42196
2014-10-21,62488
2014-10-28,60067
2014-11-04,38805
2014-11-11,30615
2014-11-18,48400
2014-11-25,54450
2014-12-02,68634
2014-12-09,90663
2014-12-16,91825
2014-12-23,82197
2014-12-30,87050
2015-01-06,94196
2015-01-13,101941
2015-01-20,129341
2015-01-27,153237
2015-02-03,148326
2015-02-10,119537
2015-02-17,95692
2015-02-24,89487
2015-03-03,72959
2015-03-10,48673
2015-03-17,19224
2015-03-24,11435
2015-03-31,36056
2015-04-07,55675
2015-04-14,48049
2015-04-21,48125
2015-04-28,50583
2015-05-05,22857
2015-05-12,27719
2015-05-19,78617
2015-05-26,66244
2015-06-02,61747
2015-06-09,37639
2015-06-16,34998
2015-06-23,39916
2015-06-30,15623
2015-07-07,2099
2015-07-14,-1123
2015-07-21,-13556
2015-07-28,-14633
2015-08-04,-11287
2015-08-11,-5430
2015-08-18,7917
2015-08-25,40614
2015-09-01,40597
2015-09-08,26825
2015-09-15,8807
2015-09-22,20829
2015-09-29,40564
2015-10-06,45838
2015-10-13,77213
2015-10-20,116344
2015-10-27,114092
2015-11-03,67207
2015-11-10,16869
2015-11-17,-13923
2015-11-24,-16664
2015-12-01,-20566
2015-12-08,-17422
2015-12-15,-27219
2015-12-22,-20062
2015-12-29,-27201
2016-01-05,-15927
2016-01-12,92
2016-01-19,439
2016-01-26,16803
2016-02-02,29036
2016-02-09,60636
2016-02-16,81013
2016-02-23,109097
2016-03-01,104370
2016-03-08,127427
2016-03-15,129777
2016-03-22,144899
2016-03-29,154205
2016-04-05,152758
2016-04-12,170634
2016-04-19,174107
2016-04-26,172050
2016-05-03,218895
2016-05-10,211191
2016-05-17,212441
2016-05-24,156461
2016-05-31,148611
2016-06-07,177366
2016-06-14,229240
2016-06-21,250408
2016-06-28,261050
2016-07-05,273076
2016-07-12,259129
2016-07-19,252397
2016-07-26,247421
2016-08-02,254729
2016-08-09,245252
2016-08-16,242727
2016-08-23,253684
2016-08-30,231594
2016-09-06,269535
2016-09-13,242977
2016-09-20,213147
2016-09-27,255177
2016-10-04,200116
2016-10-11,148793
2016-10-18,130954
2016-10-25,143910
2016-11-01,166267
2016-11-08,173637
2016-11-15,134680
2016-11-22,124389
2016-11-29,106941
2016-12-06,82318
2016-12-13,68718
2016-12-20,53805
2016-12-27,43366
2017-01-03,36557
2017-01-10,55679
2017-01-17,58635
2017-01-24,59754
2017-01-31,69837
2017-02-07,70149
2017-02-14,63625
2017-02-21,78042
2017-02-28,114246
2017-03-07,90247
2017-03-14,46374
2017-03-21,56195
2017-03-28,91043
2017-04-04,109126
2017-04-11,133011
2017-04-18,151236
2017-04-25,160380
2017-05-02,143611
2017-05-09,95962
2017-05-16,65868
2017-05-23,111048
2017-05-30,124133
2017-06-06,166049
2017-06-13,147496
2017-06-20,99376
2017-06-27,72655
2017-07-03,33689
2017-07-11,23222
2017-07-18,28913
2017-07-25,73624
2017-08-01,118458
2017-08-08,135985
2017-08-15,176556
2017-08-22,194079
2017-08-29,221126
2017-09-05,237188
2017-09-12,253517
2017-09-19,233382
2017-09-26,195976
2017-10-03,179444
2017-10-10,171330
2017-10-17,169515
2017-10-24,168368
2017-10-31,165965
2017-11-07,170712
2017-11-14,176098
2017-11-21,173155
2017-11-28,198540
2017-12-05,134510
2017-12-12,76226
2017-12-19,81245
2017-12-26,107758
2018-01-02,148174
2018-01-09,196050
2018-01-16,201532
2018-01-23,209536
2018-01-30,207562
2018-02-06,182929
2018-02-13,169757
2018-02-20,175455
2018-02-27,150019
2018-03-06,150706
2018-03-13,135865
2018-03-20,111807
2018-03-27,162163
2018-04-03,126642
2018-04-10,125562
2018-04-17,132638
2018-04-24,99661
2018-05-01,39317
2018-05-08,41639
2018-05-15,18998
2018-05-22,16531
2018-05-29,54001
2018-06-05,50880
2018-06-12,55504
2018-06-19,10528
2018-06-26,-24
2018-07-03,-1254
2018-07-10,-2527
2018-07-17,-26449
2018-07-24,-36422
2018-07-31,-42528
2018-08-07,-66116
2018-08-14,-83324
2018-08-21,-90028
2018-08-28,-75772
2018-09-04,-82722
2018-09-11,-75219
2018-09-18,-82463
2018-09-25,-83677
2018-10-02,-79603
2018-10-09,-109454
2018-10-16,-49382
2018-10-23,-38116
2018-10-30,-55523
2018-11-06,-47446
2018-11-13,-79194
2018-11-20,-51851
2018-11-27,-58390
2018-12-04,-9787
2018-12-11,-66
2018-12-18,11198
2018-12-24,41968
2018-12-31,50184
2019-01-08,32471
2019-01-15,24935
2019-01-22,16210
2019-01-29,32397
2019-02-05,44875
2019-02-12,42619
2019-02-19,82377
2019-02-26,78559
2019-03-05,31247
2019-03-12,17407
2019-03-19,30475
2019-03-26,57987
2019-04-02,24618
2019-04-09,37037
2019-04-16,-15387
2019-04-23,-33829
2019-04-30,76
2019-05-07,9547
2019-05-14,52546
2019-05-21,15937
2019-05-28,26274
2019-06-04,96182
2019-06-11,129160
2019-06-18,150516
2019-06-25,177741
2019-07-02,194087
2019-07-09,182611
2019-07-16,180059
2019-07-23,178173
2019-07-30,185713
2019-08-06,226833
2019-08-13,223611
2019-08-20,229846
2019-08-27,226716
2019-09-03,231626
2019-09-10,206181
2019-09-17,213856
2019-09-24,237871
2019-10-01,190811
2019-10-08,200501
2019-10-15,175787
2019-10-22,184438
2019-10-29,198558
2019-11-05,197247
2019-11-12,175441
2019-11-19,195199
2019-11-26,194287
2019-12-03,207962
2019-12-10,183648
2019-12-17,201721
2019-12-24,218846
2019-12-31,232732
2020-01-07,229757
2020-01-14,230459
2020-01-21,223832
2020-01-28,219938
2020-02-04,181610
2020-02-11,195671
2020-02-18,238546
2020-02-25,230846
2020-03-03,215361
2020-03-10,210185
2020-03-17,154079
2020-03-24,157409
2020-03-31,152598
2020-04-07,152482
2020-04-14,155244
2020-04-21,146271
2020-04-28,146406
2020-05-05,133241
2020-05-12,122217
2020-05-19,127064
2020-05-26,113081
2020-06-02,100355
2020-06-09,91177
2020-06-16,104688
2020-06-23,129515
2020-06-30,138555
2020-07-07,139343
2020-07-14,134973
2020-07-21,140269
2020-07-28,117136
2020-08-04,113472
2020-08-11,97692
2020-08-18,95438
2020-08-25,86849
2020-09-01,97742
2020-09-08,104292
2020-09-15,111098
2020-09-22,81448
2020-09-29,94372
2020-10-06,94612
2020-10-13,81781
2020-10-20,90565
2020-10-27,101875
2020-11-03,90695
2020-11-10,79783
2020-11-17,90447
2020-11-24,85348
2020-12-01,-550
2020-12-08,98811
2020-12-15,101879
2020-12-21,108124
2020-12-29,108995
2021-01-05,116569
2021-01-12,78234
2021-01-19,78071
2021-01-26,96399
2021-02-02,87778
2021-02-09,87640
2021-02-16,67956
2021-02-23,69123
2021-03-02,45960
2021-03-09,29430
2021-03-16,41121
2021-03-23,43521
2021-03-30,43073
2021-04-06,66472
2021-04-13,53807
2021-04-20,56424
2021-04-27,50651
2021-05-04,53625
2021-05-11,81615
2021-05-18,91990
2021-05-25,107255
2021-06-01,109973
2021-06-08,107664
2021-06-15,96792
2021-06-22,62536
2021-06-29,61382
2021-07-06,77960
2021-07-13,86291
2021-07-20,90428
2021-07-27,90230
2021-08-03,89873
2021-08-10,35403
2021-08-17,-1424
2021-08-24,75444
2021-08-31,81677
2021-09-07,-1648
2021-09-14,71222
2021-09-21,46844
2021-09-28,30861
2021-10-05,54166
2021-10-12,58519
2021-10-19,57799
2021-10-26,86362
2021-11-02,85239
2021-11-09,125610
2021-11-16,1177
2021-11-23,896
2021-11-30,92085
2021-12-07,80741
2021-12-14,63417
2021-12-21,71748
2021-12-28,83663
2022-01-04,79508
2022-01-11,74310
2022-01-18,71793
2022-01-25,101375
2022-02-01,49914
2022-02-08,69467
2022-02-15,107706
2022-02-22,138976
2022-03-01,148621
2022-03-08,142973
2022-03-15,126537
2022-03-22,115132
2022-03-29,108302
2022-04-05,1081
2022-04-12,117025
2022-04-19,101266
2022-04-26,81117
2022-05-03,67847
2022-05-10,61992
2022-05-17,1175
2022-05-24,61057
2022-05-31,50793
2022-06-07,57531
2022-06-14,36905
2022-06-21,49803
2022-06-28,36102
2022-07-05,17034
2022-07-12,-6133
2022-07-19,-18738
2022-07-26,-19093
2022-08-02,15855
2022-08-09,40734
2022-08-16,36373
2022-08-23,22111
2022-08-30,11788
2022-09-06,-6962
2022-09-13,-18337
2022-09-20,-36695
2022-09-27,-43094
2022-10-04,-6875
2022-10-11,-5580
2022-10-18,-25698
2022-10-25,-38788
2022-11-01,-41401
2022-11-08,-16346
2022-11-15,-910
2022-11-22,19431
2022-11-29,14720
2022-12-06,23487
2022-12-13,37449
2022-12-20,39095
2022-12-27,50877
2023-01-03,54581
2023-01-10,61809
2023-01-17,69377
2023-01-24,79879
2023-01-31,84447
2023-02-07,59576
2023-02-14,41173
2023-02-21,36706
2023-02-28,26575
2023-03-07,14399
2023-03-14,59721
2023-03-21,-39
2023-03-28,99160
2023-04-04,110131
2023-04-11,104606
2023-04-18,102696
2023-04-25,102803
2023-05-02,113790
2023-05-09,110986
2023-05-16,103983
2023-05-23,93139
2023-05-30,86703
2023-06-06,93428
2023-06-13,74643
2023-06-20,76039
2023-06-27,69675
2023-07-03,83148
2023-07-11,82443
2023-07-18,115318
2023-07-25,95287
2023-08-01,80009
2023-08-08,58606
2023-08-15,29536
2023-08-22,9109
2023-08-29,39242
2023-09-05,50365
2023-09-12,-1321
2023-09-19,-1827
2023-09-26,23438
2023-10-03,-7561
2023-10-10,-26767
2023-10-17,15103
2023-10-24,55748
2023-10-31,74840
2023-11-07,78235
2023-11-14,331
2023-11-21,821
2023-11-28,114893
2023-12-05,100
2023-12-12,95528
2023-12-19,1185
2023-12-26,106454
2024-01-02,109149
2024-01-09,88459
2024-01-16,643
2024-01-23,61033
2024-01-30,56024
2024-02-06,68069
2024-02-13,34176
2024-02-20,49923
2024-02-27,56153
2024-03-05,2764
2024-03-12,3886
2024-03-19,4201
2024-03-26,135795
2024-04-02,147080
2024-04-09,6753
2024-04-16,134736
2024-04-23,142139
2024-04-30,135027
2024-05-07,126099
2024-05-14,130435
2024-05-21,148523
2024-05-28,1402
2024-06-04,152299
2024-06-11,330
2024-06-18,-20
2024-06-25,158202
2024-07-02,150815
2024-07-09,157467
2024-07-16,184532
2024-07-23,748
2024-07-30,152364
2024-08-06,150786
2024-08-13,177915
2024-08-20,3470
2024-08-27,200291
2024-09-03,855
2024-09-10,190455
2024-09-17,2773
2024-09-24,219029
2024-10-01,214462
2024-10-08,194059
2024-10-15,1256
2024-10-22,205160
2024-10-29,195173
2024-11-05,183003
2024-11-12,1460
2024-11-19,1309
2024-11-26,179290
2024-12-03,1091
2024-12-10,2002
2024-12-17,183502
2024-12-24,1894
2024-12-31,1364
2025-01-07,177641
2025-01-14,662
2025-01-21,2184
2025-01-28,1164
2025-02-04,209533
2025-02-11,194803
2025-02-18,185329
2025-02-25,179812
2025-03-04,166658
2025-03-11,167576
2025-03-18,2025
2025-03-25,1904
2025-04-01,141999
2025-04-08,130986
2025-04-15,124854
2025-04-22,2487
2025-04-29,105895
2025-05-06,102091
2025-05-13,1610
2025-05-20,856
2025-05-27,642
2025-06-03,-137
2025-06-10,-45
2025-06-17,-353
2025-06-24,637
2025-07-01,776
2025-07-08,128942
2025-07-15,136727
2025-07-22,159934
2025-07-29,134256
2025-08-05,153987
2025-08-12,148287
2025-08-19,1676
2025-08-26,141917
2025-09-02,2837
2025-09-09,2055
2025-09-16,1862
2025-09-23,160549
2025-09-30,145227
2025-10-07,129759
2025-10-14,108310
2025-10-21,92227
2025-10-28,443
2025-11-04,100545
2025-11-10,721
2025-11-18,449
2025-11-25,454
2025-12-02,462
2025-12-09,946
2025-12-16,132596
2025-12-23,136270
2025-12-30,126040
