Date,Open,High,Low,Close
2021-10-15,131.82,132.81,131.8,132.47
2021-10-18,132.51,132.82,132.13,132.7
2021-10-19,132.74,133.22,132.6,133.02
2021-10-20,133.06,133.5,132.73,133.1
2021-10-21,133.13,133.39,132.25,132.44
2021-10-22,132.49,132.82,131.9,132.15
2021-10-25,132.33,132.63,131.85,131.96
2021-10-26,132.0,132.69,131.95,132.32
2021-10-27,132.38,132.54,131.57,132.07
2021-10-28,132.1,132.73,131.55,132.63
2021-10-29,132.66,132.94,131.59,131.8
2021-11-01,131.79,132.47,131.78,132.26
2021-11-02,132.3,132.42,131.46,131.92
2021-11-03,131.95,132.44,131.72,132.33
2021-11-04,132.37,132.6,131.01,131.42
2021-11-05,131.45,131.63,130.82,131.16
2021-11-08,131.22,131.45,130.89,131.19
2021-11-09,131.23,131.29,130.66,130.8
2021-11-10,130.86,131.45,130.63,130.73
2021-11-11,130.8,131.01,130.43,130.59
2021-11-12,130.62,130.79,130.24,130.36
2021-11-15,130.45,130.63,129.67,129.71
2021-11-16,129.75,130.14,129.64,129.96
2021-11-17,130.0,130.1,129.02,129.12
2021-11-18,129.12,129.97,129.07,129.89
2021-11-19,129.92,130.0,127.96,128.66
2021-11-22,128.65,129.35,128.55,129.03
2021-11-23,129.09,129.63,128.89,129.46
2021-11-24,129.51,129.59,128.69,129.22
2021-11-25,129.28,129.55,129.23,129.26
2021-11-26,129.3,129.37,127.8,128.22
2021-11-29,128.31,128.77,127.48,128.13
2021-11-30,128.19,128.62,127.6,128.24
2021-12-01,128.31,128.82,127.56,127.62
2021-12-02,127.66,128.26,127.54,127.85
2021-12-03,127.89,128.37,127.37,127.61
2021-12-06,127.6,128.12,127.51,128.04
2021-12-07,128.07,128.5,127.59,127.95
2021-12-08,127.98,129.19,127.81,128.91
2021-12-09,128.93,129.09,127.92,128.1
2021-12-10,128.13,128.43,127.81,128.24
2021-12-13,128.31,128.49,128.0,128.13
2021-12-14,128.17,128.61,127.98,128.0
2021-12-15,128.04,128.84,127.98,128.67
2021-12-16,128.7,129.67,128.44,128.8
2021-12-17,128.84,129.0,127.75,127.74
2021-12-20,127.73,128.34,127.5,128.06
2021-12-21,128.1,128.8,128.03,128.72
2021-12-22,128.69,129.53,128.55,129.22
2021-12-23,129.24,129.76,129.04,129.57
2021-12-24,129.6,129.8,129.25,129.48
2021-12-27,129.47,130.18,129.36,130.07
2021-12-28,130.1,130.25,129.6,129.84
2021-12-29,129.88,130.55,129.61,130.43
2021-12-30,130.49,130.6,130.1,130.27
2021-12-31,130.33,131.06,130.15,130.82
2022-01-03,130.86,131.06,130.02,130.24
2022-01-04,130.28,131.49,130.22,131.05
2022-01-05,131.1,131.63,130.82,131.34
2022-01-06,131.39,131.45,130.62,130.77
2022-01-07,130.81,131.38,130.79,131.25
2022-01-10,131.2,131.39,130.14,130.45
2022-01-11,130.49,131.23,130.43,131.03
2022-01-12,131.05,131.5,130.95,131.16
2022-01-13,131.18,131.47,130.61,130.77
2022-01-14,130.8,130.88,129.77,130.35
2022-01-17,130.38,130.85,130.28,130.72
2022-01-18,130.79,131.2,129.69,129.8
2022-01-19,129.82,130.01,129.38,129.65
2022-01-20,129.68,130.11,129.03,129.04
2022-01-21,129.07,129.34,128.54,128.91
2022-01-24,128.92,129.18,128.39,128.99
2022-01-25,129.03,129.23,128.24,128.65
2022-01-26,128.69,129.28,128.58,128.81
2022-01-27,128.86,129.04,128.32,128.52
2022-01-28,128.58,128.87,128.34,128.41
2022-01-31,128.47,129.4,128.38,129.29
2022-02-01,129.32,129.56,128.86,129.27
2022-02-02,129.3,129.49,129.04,129.34
2022-02-03,129.38,131.57,129.18,131.5
2022-02-04,131.52,132.11,131.44,131.86
2022-02-07,131.92,132.2,131.25,131.72
2022-02-08,131.7,132.06,131.47,131.88
2022-02-09,131.9,132.17,131.6,131.91
2022-02-10,131.95,133.19,131.85,132.55
2022-02-11,132.57,132.65,130.37,130.98
2022-02-14,130.94,131.41,130.04,130.61
2022-02-15,130.65,131.57,130.42,131.3
2022-02-16,131.36,131.94,131.1,131.31
2022-02-17,131.34,131.52,130.39,130.56
2022-02-18,130.59,131.15,130.19,130.19
2022-02-21,130.13,130.92,129.73,129.77
2022-02-22,129.8,130.79,129.35,130.33
2022-02-23,130.35,130.74,129.94,130.02
2022-02-24,130.06,130.11,127.9,129.28
2022-02-25,129.31,130.31,128.71,130.2
2022-02-28,129.2,129.82,128.06,129.01
2022-03-01,129.05,129.26,127.35,127.82
2022-03-02,127.85,128.82,127.29,128.45
2022-03-03,128.49,128.54,127.57,127.74
2022-03-04,127.79,127.84,125.06,125.41
2022-03-07,125.74,125.97,124.38,125.15
2022-03-08,125.19,126.76,125.09,126.06
2022-03-09,126.12,128.49,125.99,128.27
2022-03-10,128.3,128.91,127.41,127.55
2022-03-11,127.56,129.06,127.53,127.94
2022-03-14,128.03,129.73,127.99,129.28
2022-03-15,129.3,130.06,129.24,129.53
2022-03-16,129.6,131.14,129.53,130.97
2022-03-17,130.99,131.94,130.7,131.5
2022-03-18,131.53,131.94,131.17,131.67
2022-03-21,131.77,132.0,131.37,131.58
2022-03-22,131.64,133.35,131.58,133.2
2022-03-23,133.26,133.91,132.32,133.31
2022-03-24,133.32,134.64,132.93,134.5
2022-03-25,134.54,134.76,133.71,134.01
2022-03-28,133.96,137.56,133.95,136.03
2022-03-29,136.07,137.34,135.29,136.18
2022-03-30,136.21,136.7,134.88,135.89
2022-03-31,135.92,136.87,134.5,134.65
2022-04-01,134.66,135.91,134.62,135.39
2022-04-04,135.24,135.7,134.56,134.69
2022-04-05,134.74,135.16,134.28,134.76
2022-04-06,134.8,135.5,134.7,134.85
2022-04-07,134.88,135.53,134.42,134.8
2022-04-08,134.83,135.4,134.34,135.21
2022-04-11,135.96,137.15,135.26,136.42
2022-04-12,136.44,136.67,135.53,135.7
2022-04-13,135.75,136.91,135.7,136.78
2022-04-14,136.81,136.97,135.51,136.28
2022-04-15,136.3,136.93,136.26,136.53
2022-04-18,136.54,137.04,136.42,136.87
2022-04-19,136.93,139.13,136.85,139.03
2022-04-20,139.07,139.7,138.38,138.76
2022-04-21,138.8,140.04,138.73,139.1
2022-04-22,139.14,139.5,138.23,138.77
2022-04-25,139.4,139.41,136.47,137.23
2022-04-26,137.28,137.57,135.3,135.29
2022-04-27,135.34,136.17,134.76,135.55
2022-04-28,135.59,138.02,135.41,137.37
2022-04-29,137.36,138.01,136.47,136.85
2022-05-02,136.81,137.64,136.49,136.67
2022-05-03,136.73,137.38,136.49,136.87
2022-05-04,136.83,137.45,136.57,137.09
2022-05-05,137.13,137.6,136.82,137.16
2022-05-06,137.24,138.18,136.72,137.75
2022-05-09,137.77,138.34,137.05,137.48
2022-05-10,137.52,138.11,137.01,137.3
2022-05-11,137.35,137.73,136.17,136.6
2022-05-12,136.63,136.76,132.65,133.18
2022-05-13,133.2,134.78,133.1,134.5
2022-05-16,134.44,135.08,133.74,134.73
2022-05-17,134.78,136.72,134.48,136.47
2022-05-18,136.49,136.69,134.06,134.18
2022-05-19,134.24,135.49,133.91,135.29
2022-05-20,135.31,135.83,134.58,135.01
2022-05-23,135.18,136.82,134.65,136.69
2022-05-24,136.72,136.81,135.53,136.11
2022-05-25,136.16,136.26,134.97,135.97
2022-05-26,136.02,136.66,135.22,136.34
2022-05-27,136.37,136.76,135.83,136.35
2022-05-30,136.49,137.69,136.25,137.46
2022-05-31,137.5,138.26,136.78,138.11
2022-06-01,138.14,139.01,138.08,138.53
2022-06-02,138.55,139.63,138.38,139.5
2022-06-03,139.52,140.39,139.45,140.26
2022-06-06,140.28,141.16,139.82,141.02
2022-06-07,141.04,142.09,140.99,141.85
2022-06-08,141.88,144.27,141.84,143.82
2022-06-09,143.89,144.2,142.33,142.58
2022-06-10,142.64,142.82,140.79,141.34
2022-06-13,141.34,141.78,139.38,139.85
2022-06-14,139.9,141.16,139.47,141.09
2022-06-15,141.13,141.51,139.51,139.75
2022-06-16,139.79,140.63,137.84,139.44
2022-06-17,139.49,142.0,139.43,141.68
2022-06-20,141.35,142.38,141.32,141.96
2022-06-21,142.0,144.01,141.91,143.78
2022-06-22,143.82,144.28,142.66,143.96
2022-06-23,144.0,144.01,141.39,142.0
2022-06-24,142.05,142.81,141.39,142.66
2022-06-27,142.69,143.51,142.04,143.33
2022-06-28,143.37,144.3,142.85,143.17
2022-06-29,143.19,143.89,142.47,142.58
2022-06-30,142.62,142.88,141.37,142.27
2022-07-01,142.27,142.45,139.78,140.98
2022-07-04,141.13,141.69,140.6,141.4
2022-07-05,141.39,142.4,138.94,139.48
2022-07-06,139.52,139.55,137.23,138.37
2022-07-07,138.43,139.09,137.97,138.14
2022-07-08,138.21,138.74,136.85,138.57
2022-07-11,138.45,139.19,137.87,137.96
2022-07-12,137.99,138.1,137.0,137.38
2022-07-13,137.4,138.84,137.11,138.24
2022-07-14,138.27,139.79,137.97,139.12
2022-07-15,139.22,139.91,138.72,139.74
2022-07-18,139.73,140.83,139.37,140.09
2022-07-19,140.1,141.48,139.68,141.28
2022-07-20,141.32,141.95,140.42,140.65
2022-07-21,140.68,142.35,140.14,140.5
2022-07-22,140.54,140.72,138.76,138.91
2022-07-25,138.95,140.09,138.7,139.67
2022-07-26,139.73,139.87,138.12,138.47
2022-07-27,138.52,139.54,138.42,139.31
2022-07-28,139.27,139.4,136.33,136.85
2022-07-29,136.93,137.34,135.53,136.09
2022-08-01,136.16,136.36,134.98,135.05
2022-08-02,135.08,135.43,133.39,135.38
2022-08-03,135.39,136.45,134.82,136.03
2022-08-04,136.07,136.95,135.63,136.15
2022-08-05,136.17,137.79,135.79,137.41
2022-08-08,137.4,137.95,137.05,137.63
2022-08-09,137.69,138.33,137.24,137.98
2022-08-10,138.04,138.95,136.57,136.82
2022-08-11,136.88,137.42,136.29,137.22
2022-08-12,137.22,137.75,136.85,136.92
2022-08-15,137.01,137.09,135.27,135.45
2022-08-16,135.46,136.96,134.93,136.49
2022-08-17,136.55,137.92,136.25,137.44
2022-08-18,137.45,137.69,136.55,137.08
2022-08-19,137.12,137.99,136.93,137.4
2022-08-22,137.37,137.97,136.39,136.66
2022-08-23,136.71,137.19,135.72,136.33
2022-08-24,136.37,136.82,135.5,136.62
2022-08-25,136.67,137.01,136.0,136.13
2022-08-26,136.18,138.01,136.07,136.98
2022-08-29,137.31,139.0,137.01,138.62
2022-08-30,138.65,139.25,138.24,138.96
2022-08-31,139.0,139.79,138.23,139.75
2022-09-01,139.73,140.02,138.92,139.41
2022-09-02,139.44,140.79,139.25,139.51
2022-09-05,139.51,139.67,138.67,139.56
2022-09-06,139.6,141.78,139.56,141.4
2022-09-07,141.44,144.04,141.37,143.72
2022-09-08,143.75,144.32,143.16,144.03
2022-09-09,144.08,144.75,142.63,143.08
2022-09-12,143.68,145.66,143.37,144.52
2022-09-13,144.55,145.06,143.38,144.09
2022-09-14,144.16,144.51,142.27,142.89
2022-09-15,142.87,143.71,142.54,143.5
2022-09-16,143.57,143.57,142.49,143.13
2022-09-19,143.2,143.63,142.78,143.5
2022-09-20,143.56,144.06,143.01,143.28
2022-09-21,143.34,143.59,141.59,141.63
2022-09-22,141.7,143.73,138.69,139.96
2022-09-23,140.05,140.28,138.65,138.88
2022-09-26,138.98,139.55,137.57,139.04
2022-09-27,139.1,139.57,138.59,138.85
2022-09-28,138.89,140.43,138.03,140.33
2022-09-29,140.35,141.82,139.39,141.78
2022-09-30,141.82,142.31,140.76,141.84
2022-10-03,141.67,142.49,141.36,141.99
2022-10-04,142.05,144.11,141.9,143.85
2022-10-05,143.92,144.1,142.43,142.92
2022-10-06,142.91,143.49,141.94,142.1
2022-10-07,142.09,142.24,141.18,141.57
